code,relative_text_contribution,relative_group_fit,quote,ID,row_num
V1,0.701,0.948,"If the shooter shot on the left side of the building, why was his body found on the right side of the building behind the tree? Why was the windows open on the second floor window behind where you said crooks was at but wasn't found on video? How was he hit by secret service when view obstructed by the tree? Why in every audio submitted and reported, there was 3 different audio sounds for shots fired, first 3 without echo, 6 with louder echo and finally one suppressed shot? Why was this scene controlled by homeland security headed by Alejandro Mayorkas who hates Trump and thinks he's hitler vs actual qualified secret service agents? Finally, who was in the window and why are they lying to us? If you say the shooter was at where he was at, the bleacher would not be within the line of fire. Conclusion, why was Blackrock involved shorting trump stocks the day before the shooting for 12 million shares standing to gain billions if Trump was to die. Plus the photo of crooks with the Blackrock CEO holding the rifle...",UgwHXBmHnKS6uRlim314AaABAg,1744
V1,0.69,0.948,"Timelime composed from ABC, CBS and Fox News sources. 7/13 5:00 PM ~15,000 attendees admitted to the secured area 5:06 Thomas Matthew Crooks (TMC) spotted on video outside the perimeter, pacing around the north bldg. unarmed and no noticable items on him. (range-finder, mat/blanket, ammo, detonator and receiver) Two teams of counter-snipers prep for their position on top of the two flanking bldgs (N & S) behind Trump's podium. 5:41 TMC is seen with a range finder near entrance to the secured area. He is a suspicious person but is lost in the crowd. 5:46 Photo by the south sniper team of TMC is captured and exchanged amongst LEOs 6:03 Trump takes to the stage 6:05 Trump starts his speech 6:09 South sniper team turns to face toward TMC's bldg. Witnesses notice TMC on the roof (he used the A/C unit to purchase his elevated position) TIME UNKNOWN Two cops engage TMC on the roof and the one viewing has the long gun pointed at him and he drops silently to the ground without firing any alert shots! Unusual behavior for a gun toting cop ~6:10 South sniper team moves into position and takes a knee, grabbing their weapons and taking aim in TMC's direction. By-standers captures LEO walking around the two north bldgs close to the perimeter Trump pivots his head slightly to the right and starts point out the charts details Onlookers start running away from TMC's location! 6:11 Supporter captured sound of man shouting \He's got a gun!\"" 5 SECONDS later 3 shots are fired by TMC Trump covers his ear and drops under the podium. Addition shots are fired 6:12 Agents huddle over Trump and then 15 SECONDS later last shot is heard! Total number of shots is unknown as the USSSS do not know how many shots they fired! TMC's parents call police BEFORE? or after hearing about the shooting and alerts them that their son is missing with the AR15 as they called the shooting range with no findings. Conflicting stories from Fox and others, but Fox says they confirmed it was before the shooting!""",UgwJU2SyTFwBG-OlHep4AaABAg,12592
V1,0.686,0.948,Your angle on shot trajectory doesn't match the shots fired that day. The shots were parallel to Trumps head not intersecting. If they had been intersecting the shot would have pierced his skull not his ear. The location of crooks body doesn't match the mathematical or audio evidence recorded that day. The actual shot that hit Trump came from approx. 70 feet [to the right side] of a Thomas Crooks location.,Ugx4_tp6SJZ8TlubJF14AaABAg,9930
V1,0.681,0.948,"you have the shooter in the wrong place. look again at the chopper footage and other footage showing crooks on the other end of the building. Also your not showing the open window in the 3 story building which just happens to be directly behind where you have the shooter located in your video. look again at the footage, place crooks in the right place according to video footage and check his shot trajectory.. at the exact second trump was shot, he was looking directly at the shooter... Which is directly at the open window, 50-60 feet right of where crooks body was lying",Ugzl4p02Q8-y2hjgt0p4AaABAg,530
V1,0.675,0.948,"The suspect Mathew Crooks apparently was looking to join the US secrete services USSS by proving his capability in this crime. That explains (1) the secrete service who gather after 4 second of firing the first round were totally at the sight of the suspect .. (2) his firing pattern suggest that he avoided them by the gun fire. This can explain why the secrete services were easy on the suspect as well and the (3) the claim and content attitude of the suspect of not expecting to be shot .. (4) The review of the suspect of other mass shooting with surviving suspects. That suggest clearly that the suspect was manipulated (perhaps on social media like Facebook or something like that). And Trump and his close collaborator would not risk the skill of the shooter clearly as tiny mistake can be fatal. This suggest special bullets-measures were used in this crime. The transmitter of the suspect is unlikely to be of explosives as there were no such a thing. The transmitter of the suspect was likely for coordination purpose. In incited violence crimes, neither the suspect nor the law enforcement has any interests in having causality at scale .. as both will be held accountable for then after. Rather, specific event with specific measures and impact is expected of the suspect who are likely to be killed while counting on the odd of similar rubbish suspect who survived.",UgxMYmYvVKJJzh--9794AaABAg,9096
V1,0.672,0.948,"Numerous inaccuracies in your narrative! Shooter was between 1/4 to 1/3 of buildings length from the opposite end of the building, not the side you portray. Trump had been looking in the direction shot came from for several seconds before shot was fired, therefore no \last second\"" miracle turning of head; shooter was likely attempting a facial shot. Secret Service reports it was a counter-sniper team placed on the building on right of stage when facing Trump which made shot that neutralized the gunman, NOT the SS sniper team you indicate. The manufacturer of the shooter's \""AR-15\"" style of weapon has yet to be released to my knowledge, therefore referring to it as an Armalite AR-15 is speculative and premature. Judging from stills made from witness videos, firearm in question appears to be a carbine as well, meaning 16 inch barrel versus the 20 inch you suggest. Finally, your depiction of the stage seating is inaccurate, the two end sections angled in at an approximate 30 degree angle, which placed the deceased victim directly in line with Trump from the shooter's perspective. An awful lot of work to get so much wrong.""",UgyLPPxfV9O6pHBI6gh4AaABAg,3370
V1,0.67,0.948,"Field Craft Survival has insider fact based story of what happened. What is wrong in this video; 1. The Trump Shooter was spotted by the police moving towards and climbing the roof, the policemen tried to stop the guy but had to retreat since the guy once on the roof pointed his gun towards the officer who was climbed up the ladder 2. Since the guy knew he was spotted he had to make it quick therefore the guy was not on the far left side of the roof but on the far right side near where the ladder was. 3. The Trump Shooter got shot not by the first sniper Team with remington sniper rifles with 300 remington magnum, but by the second Sniper Team which used an SR-25 with win 308 ammo, I suspect the first sniper team couldn't get a clear shot because there was a tree in-between the shooter and the first sniper team.",Ugyc-0RppUcrebFD6yJ4AaABAg,4776
V1,0.666,0.948,"Why when there's video proof of their being an open window on the second floor of a building directly behind no more than ten yard' in which a trajectory from such would show a 100% uninhibited in any way clear shot in which a shooter from inside taking a shot, would pass over the to Trumps view, the extreme left sidee of the referred to as loan shooter. Some 50 to 60 feet over different, meaning the again trumps viewing of the same building the left side not the middle. Which then when any and all audio's is diagramed proves the first three shot's being muffled, which when sthot from outside would be normal. The follow \SIX\"" shot's which have echo's, meaning they came from an inside not outside locaton. There are two video souce's showing an open window on the second floor of a building in perfect alignment of trump. One of which come from a media's helocoper after the event, which flies slowly over and show's in the upper right of the video an open window on the second floor of a building some ten yard's beind the loan shooter's location on the building in from. But then it would seem that only conspirtor theorist every seek the answer's to \""WHY\"".""",UgyzF98ZLbtTA5gcUVp4AaABAg,9013
V1,0.666,0.948,"*A Couple Details* The shooter appeared to be located behind the last tree, which would have obscured the view of the North counter snipers. [ _I, for one, appreciate that you put him on the east end of the roof, behind the last tree._ ] Later reporting said that a police officer had attempted to confront the shooter on the roof but fell back when the shooter pointed his gun toward him. The police officer(s) likely began calling on the radios about him, and the counter snipers on the North building were trying to locate the shooter. That is why they look in that direction before the first shots are fired. Since the tree obscured the shooter, they could not immediately see him.",UgykOw5K-vtVmGo-FG54AaABAg,9790
V1,0.66,0.948,"Trump was 2 min into his speech when first shot rang out. SS sniper knew he was there that whole 2 min+ and supposedly said he never received the go ahead to shoot. It was after the first shot when the SS sniper took his. He obviously missed because the shooter pulled off 2 more shots, one of which killed the firefighter there with his family while 2 others were critically injured. Hope and pray they will fully recover. Pray for the family of Corey who died shielding his wife and family. Back to the SA snipers, i honestly believe it was the second sniper who actually took out the shooter because the first guy missed. Based on the audio of Trump speaking that first sniper we all see propped up with his gun stand did fire immediately after the shooter shot first. But like said earlier he obviously missed because the shooter popped off 2 more shots after the first. It was the second sniper who actually took down the shooter i believe.",Ugy6mj6yoZOwAVzdmNp4AaABAg,13634
V1,0.647,0.948,"The seating behind the podium was not in a straight line as depicted. It was 3 sections, with left & right sections angled in. This is how the bullets were able to continue past Trump & hit the spectator in the upper right bleacher. The shot had to be rising, from an initial lower elevation, to hit them both. One of those shots continued & hit a hydraulic hose, on a boom lift, which collapsed the right loudspeaker array. The audio analysis, which is still ongoing, suggests that three different weapons were fired.",Ugzq7Gu-Q4YhnZYPl5l4AaABAg,339
V1,0.638,0.948,"Ok, so how did the person get shot situated to the left/North side of Trump, back from the line of fire, between Trump and the known shooter? I'd have thought that person hit would have been on the other side of the main grandstand. If the video showing that was reversed, then the placards writing would be backward, but wasn't. The Telehandler was in the line of fire of the known shooter, hence an oil line getting ruptured. Was the shooter that bad of a shot, or was there another on the other side shooting Northward.",UgxsTYxyFE5JVNl78ZN4AaABAg,4541
V1,0.638,0.948,"I'm still in question why the water tower is not mentioned? Three witnesses when asked by reporters what happened, all said the SS CSs took out a shooter on the water tower and Crooks. Peak Prosperity shows a video of a person on the water tower who disappears from site as the first 3 shot ring out and then reappears and then the following 6shots are fired by a different sniper at a much more rapid fire! Then there is the lone shot at the very end!",UgyDAgCOjSgcy_w_mCV4AaABAg,4973
V1,0.631,0.948,"You're missing the fact that there are bleachers to the right of Trump. There are three sets of bleachers. To his right, to his left, and behind him. The people injured and killed were in the bleachers to his right. Those people were indirect line of sight between the shooter and Trump. The shooter used NATO 556 rounds. His rifle is chambered for 556. 556 rounds are hotter than civilian 223 rounds.",UgwHI5VEfZdBbOVifVd4AaABAg,731
V1,0.631,0.948,"Assassin's position on the roof is wrong, theres a tree between the shooter and counter-snipers on the left (Northern) building, missing counter-snipers on the building to the right (Southern). Also it wasn't one long straight grandstand directly behind Trump. There were 3 grandstands in total, one being and two flanking him at an angle. Those two were where the bystanders got hit.",Ugx6kyAPSiwNGRJ4bvt4AaABAg,831
V1,0.629,0.948,"A lot of details missing. The impacts of some bullets and the locations of the casualties do NOT align with the depicted position of the shooter and Trump. The depicted location of the shooter is on the south end of the roof, same location he is shown on eyewitness video crawling around. However, later police footage of his body show him on the north end, but the view on Trump from the north end is obstructed by the bleachers and spectators, and yet this is more in line with Trump, known impacts and casualties. So the shots would appear to be taken from the north end, and as demonstrated by police footage, but the shooter cant see Trump from there (hence all the graphics depict him on the south end). Dont you find that a little odd?",Ugwwgy0Xp3O8rLR9ca54AaABAg,742
V1,0.629,0.948,"Location of 20 yr old alleged shuter is not in the correct location on that roof. He was much closer to the other end, closer to the ladder he climbed to access the roof... This would change the angle of his sh0t. From other analyses I've watched I personally don't think he was the real shuter. I don't think he fired the first three shots. A professional sniper fired those... from inside the building through a window (lower, with slightly upward trajectory, that clipped Trumps ear then hit the spectator in the upper row of bleachers). The kid fired the next few rapid and random sh0ts, with erratic aim and that's what hit the firefighter and other spectator between him and Trump. The final(?) sh0t (different sound) was a 3rd shooter that took the patsy kid out. Check out the analysis done by Dr. Chris Martenson of YT channel Peak Prosperity... well done imo..",Ugz24KVqQndOc6xG6Ux4AaABAg,1071
V1,0.622,0.948,"Cool illustration...and of course you couldn't get every detail. But the line you had for Crooks should have extended further to the open window in the building behind and Crooks moved 50 to 70 feet to right with a separate line for him. You might have also mentioned the 3 first shots and second 5 shots had distinctly different sound, noted the water tower, the second SS sniper team behind Trump, the 5 foot ladder and AC access point, the shot bystanders on the bleachers between Trump and a shooter and the jumbotron. Nice job noting the additional gunshot(s) after SS said shooter was down the first time which may have got the bystander(s).",Ugy5TZNEhn3u-V0mNcV4AaABAg,951
V1,0.622,0.948,"this ignores the fact that a secondary video/audio recording source captures no echo off a nearby building between him and the shooter's position for the first 3 shots with clear echos on the 5 rapid panic shots that crooks actually shot. the first 3 shots were done by someone who could actually aim and the first shot was on target but trump miraculously moved his head. taking any couple of facts here or there to say there's a conspiracy does not work, but there are over a dozen smoking guns that this was a democrat and/or deep state operation to kill trump which means they will simply try again. crooks was kicked out of his school rifle team for being a horrible shot.",UgyxPXyo9Nene56iUK54AaABAg,1189
V1,0.622,0.948,"What I don't understand is that there were 2 Secret Security Sniper teams on the 3 buildings behind Trump. A Former sniper said it wasn't the Sniper team on the first building that shot the assassin, it was the 2nd sniper team behind on the 3rd building that shot the kid. I'm also confused on which team shot the assassin.",UgyvSGPCqfLtmsnF3LZ4AaABAg,3338
V1,0.622,0.948,"None of this is correct. 1st the picture that supposedly captured the bullet as it wisped by Trump is faked. 5.56 at around 133 yrs would still be traveling at around 2700 fps or 1840 mph the only way to capture it on camera is with a slow speed camera one already set up. 2nd the location of Crooks is wrong, for the bullet to nick Trump's ear, Crooks would have to be at the end of the roof on the right side of the building not the left or center of the roof. 3rd the angle at which you have the bullet traveling is also wrong, from that elevated roof top the bullet would not be at a up angle going into the stands, it would be at a downward angle going into the stage or into the ground just below the stands. Fact is what is being reported isn't adding up & what we have here is Gen X version of JFK.",Ugwc69JVIo2QnBg2GnJ4AaABAg,9750
V1,0.62,0.948,ok nuice but misleading ....WHY LOOK AT STOP AND LOOK AT 6.15 MARK YJR BILLBPORAD ON YOUR RIGHT .... BEHIND ROWS OF BLEACHER ... TRUMP TURN TO HIS RIGHT TO LOOK AT THE BILLBOARD ... THE PEOPLE SHOT WERE ON THE LEFT BLEACHERS NOT THE CENTER .... NOW GO BACK TO 4.53 IF YOU WNT DO PHOTO OF THAT TIME MARK THEN DRAW RED LINE YOU SEE THE PEOPLE HIT WERE ON THE TOP ROWS OF THE LEFT OF TRUMP .... OK THAT IS IN LINE WITH SHOOTER ...BUT THERE IS MAJOR PROBLEM... HERE IT IS THE MAJOR PROBLEM .... TRUMP WAS STANDING ON STAND NO HIGHER THAN 3 FEET THE SHOOTER SOCALLED WAS ON TOP OF BUILDING MUCH HIGHER THAT BUILDING BEING AT LEST 15 FEET.... SO TRUMP STANDING ON STAND ABOUT 3 FEET THEN TRUMP IS 6 FOOT THAT IS 9 FEET ... THERE IS LEAST 5 FOOT DECLINE TO TRUMP HEAD .... HOW IS IT PROBABLY THE MEN ON TOP ROW STANDING HIGHER THAN TRUMP BE SHOT ?!!!! THIS HAPPEN ONLY HOLLYWOOD MOVIES .... NOW GO BACK TO 0.26 MARK ... YOU SEE THE BULLET FLYING BY AS LINE ... LOOK GOOD AT THE ANGLE .... THAT BULLET IS NOT GOING FROM ROOF DOWN THAT BULLET IS GOING SFROM SOME STANDING INSIDE THE BUILDING THE SHOOTER WAS ON TOP ... MORE LIKE THE BUILDING BEHIND HAS CLEAR SHOOT WITH WINDOWS ... AND FROM THERE YOU WOULD HIT MEN ON TOP ROW OF BLEACHERS....... NOW HAD THE SHOOTS COME FROM THE FRONT THEN THE PEOPLE ON TOP ROW WOULD BE HIT LIKE THOSE ON LEFT OF TRUMP .... THIS IS NOT HOLLYWOOD WITH TRICKS SHOT WERE BULLETS GO DOWN THEN UP AND TURN CORNERS,UgzxsD7VFYSXXrV9H4N4AaABAg,5538
V1,0.614,0.948,"This video is BS. The Sniper Team behind Trump isn't the Sniper Team that shot Crooks. It was the Sniper Team on the other building that actually shot Crooks. Also, a witness reported that a man on the Water Tower was killed by police.",UgzztHHUdsL1I5CZwjR4AaABAg,199
V1,0.614,0.948,I have heard that the snipers you are identifying on the roof to the left of Trump were blocked from the shooter by trees. There was another sniper team on the roof of another building more to the right and apparently they could see the shooter and were more likely the team that took him out. Hopefully this will be all clarified in coming investigations. Also would like to know the position of the water tower relative to Trump and relative to the snipers and whether or not a second shooter could have been there as well. Is there any video footage of the water tower?,UgzUWjTy540lfgB_Vr14AaABAg,3094
V1,0.614,0.948,Modeling does not appear to be correct? (1:11) Shooter was shown on open side of building but post assassin videos and other sources show shooter on the other (left looking down) end of building and behind the very slight ridge line... this video depicts him in the open side slope toward the podium/event. vid seems to show roof of prefab steel bldg as flat? Had typical 1:12 pitch in other videos. this vid seems to imply SS shooters on barn nearest shooter made the kill shot? That position was somewhat visually occluded by trees due to assassin being on end of bldg. w ladder- nearer parking lot; see (:32). This presentation seems to conflict w/ many other modeling displays online.,Ugyjohr2zbIOCFeGi7d4AaABAg,4603
V1,0.614,0.948,"The bullet in the photo @2:15 is not the bullet that hit the President (I'm glad you didn't actually say so.) We know this because in the photo the President was raising his right hand to touch his injured ear. But you did seem to imply that this was the first bullet by showing a 3D model where the bullet in the photo was an inch behind his head. In fact, there's no depth perception in that photo, so that bullet could be in front of his head.",UgwWfhr_0wPCFtKZ1Xd4AaABAg,10336
V1,0.614,0.948,Wait ? What ? Not a word about the water tower ? Please allow me to map an assassination for you . The guy you catch is the patsy. He's the show card. Disposable. The guy you never see / saw is the killer - who in this case failed his mission very likely because of Crooks being seen and jumping the plan. There were at least 11 shots fired over 15 seconds captured by sound analysis. The media is suppressing witness statements about a shooter on the water tower. A 300 - 400 yd shot from the water tower is short / easy work for anyone with experience. TOO EASY !!! The plan ( the art ) is to hide your shot - AND ESCAPE - in the middle of Crooks and counter snipers shooting at each other.,Ugx1htn1Ep2FbxnbgUx4AaABAg,11985
V1,0.607,0.948,"Crooks, the patsy, was in the MIDDLE of the building g! NOT by upstairs window of the 2 story building! However, THAT is the true line of sight and where the REAL shooter was... well, one of them. I believe there was at least another one on the water tower. Also, that was NOT the Counter Sniper team that ended him. It was from a different, unseen team using a Knight's SR25 suppressed .308Win and NOT the .300WinMag from the team being shown everywhere. Crooks would have been totally unrecognizable had he been hit by .300WinMag that close! Crooks job was to be conspicuous and draw attention, then be the fall guy/patsy. They did it before successfully, why wouldn't they do it again? Especially to the president they hated to most and was going to be coming for them once elected!",Ugw8w4qQVmAtP4wtYJR4AaABAg,407
V1,0.607,0.948,"Did you see that every propaganda and it works are putting a shooter crooks on the edge right roof 60 feet from where his body laid after shot by snipers directly behind him the second story building with a window open to the outside the snipers nest second shooter, showing all the networks are taking direction from Secret Service and placing crooks in this position of the second shooter sniper inside the building shows a direct relation toa conspiracy.",UgxrERgh98AFQosccW14AaABAg,744
V1,0.607,0.948,"A few critical details you got wrong: the snipers ALREADY had eyes on the shooter prior to him firing a shot. There's a video showing this. It's also believed that there were two counter sniper teams and the one farthest from the shooter made the kill shot. The video doesn't align the audio of \shooter down\"" with Trumps position onstage. The USSS never stood him up until after confirmation of \""shooter down\"". Hope this helps.""",Ugwg0OeuYUVDXS1wMCx4AaABAg,1848
V1,0.605,0.948,"Shots fired from 3 different distances. Per sound clips and math, shots were fired at around 400ft, 800ft, and 1,400ft. These sound clips were all taken from Fox News clip where the microphone was stationary and directly in front of the stage. No shots fired from the snipers behind Trump at all...",UgxPQ3F_WkIhqySmyKp4AaABAg,5461
